image_name,split,style,style_path,genre,artist,title,chan_image_path,chan_image_name,chan_split_style,chan_split_genre,chan_split_artist
impressionism_camille-pissarro_kitchen-garden-at-the-hermitage-pontoise-1874.jpg,train,impressionism,Impressionism,landscape,camille-pissarro,kitchen-garden-at-the-hermitage-pontoise-1874.jpg,Impressionism/camille-pissarro_kitchen-garden-at-the-hermitage-pontoise-1874.jpg,camille-pissarro_kitchen-garden-at-the-hermitage-pontoise-1874.jpg,val,val,val
expressionism_amedeo-modigliani_alice-1915.jpg,train,expressionism,Expressionism,portrait,amedeo-modigliani,alice-1915.jpg,Expressionism/amedeo-modigliani_alice-1915.jpg,amedeo-modigliani_alice-1915.jpg,train,train,
abstract-expressionism_richard-diebenkorn_untitled.jpg,train,abstract_expressionism,Abstract_Expressionism,abstract_painting,richard-diebenkorn,untitled.jpg,Abstract_Expressionism/richard-diebenkorn_untitled.jpg,richard-diebenkorn_untitled.jpg,train,train,
symbolism_nikolaos-gyzis_mother-of-god-study-1898.jpg,train,symbolism,Symbolism,religious_painting,nikolaos-gyzis,mother-of-god-study-1898.jpg,Symbolism/nikolaos-gyzis_mother-of-god-study-1898.jpg,nikolaos-gyzis_mother-of-god-study-1898.jpg,train,train,
color-field-painting_ron-gorchov_timandra-2007.jpg,train,color_field_painting,Color_Field_Painting,abstract_painting,ron-gorchov,timandra-2007.jpg,Color_Field_Painting/ron-gorchov_timandra-2007.jpg,ron-gorchov_timandra-2007.jpg,val,val,
ukiyo-e_kitagawa-utamaro_not_detected_233118-1799.jpg,train,ukiyo_e,Ukiyo_e,genre_painting,kitagawa-utamaro,not,Ukiyo_e/kitagawa-utamaro_not_detected_233118-1799.jpg,kitagawa-utamaro_not_detected_233118-1799.jpg,train,train,
post-impressionism_paul-gauguin_not-detected-1.jpg,train,post_impressionism,Post_Impressionism,landscape,paul-gauguin,not-detected-1.jpg,Post_Impressionism/paul-gauguin_not-detected-1.jpg,paul-gauguin_not-detected-1.jpg,val,val,
high-renaissance_raphael_madonna-and-child-enthroned-with-saints-1505.jpg,train,high_renaissance,High_Renaissance,religious_painting,raphael,madonna-and-child-enthroned-with-saints-1505.jpg,High_Renaissance/raphael_madonna-and-child-enthroned-with-saints-1505.jpg,raphael_madonna-and-child-enthroned-with-saints-1505.jpg,val,val,
symbolism_nicholas-roerich_tibet-1933.jpg,train,symbolism,Symbolism,landscape,nicholas-roerich,tibet-1933.jpg,Symbolism/nicholas-roerich_tibet-1933.jpg,nicholas-roerich_tibet-1933.jpg,train,train,train
realism_boris-kustodiev_portrait-of-p-i-neradovsky-1922.jpg,train,realism,Realism,sketch_and_study,boris-kustodiev,portrait-of-p-i-neradovsky-1922.jpg,Realism/boris-kustodiev_portrait-of-p-i-neradovsky-1922.jpg,boris-kustodiev_portrait-of-p-i-neradovsky-1922.jpg,train,train,train
high-renaissance_raphael_portrait-of-pope-julius-ii.jpg,train,high_renaissance,High_Renaissance,portrait,raphael,portrait-of-pope-julius-ii.jpg,High_Renaissance/raphael_portrait-of-pope-julius-ii.jpg,raphael_portrait-of-pope-julius-ii.jpg,train,train,
pop-art_martial-raysse_made-in-japan-la-grande-odalisque-1964.jpg,train,pop_art,Pop_Art,portrait,martial-raysse,made-in-japan-la-grande-odalisque-1964.jpg,Pop_Art/martial-raysse_made-in-japan-la-grande-odalisque-1964.jpg,martial-raysse_made-in-japan-la-grande-odalisque-1964.jpg,train,train,
ukiyo-e_utagawa-kuniyoshi_the-actor-19.jpg,train,ukiyo_e,Ukiyo_e,portrait,utagawa-kuniyoshi,the-actor-19.jpg,Ukiyo_e/utagawa-kuniyoshi_the-actor-19.jpg,utagawa-kuniyoshi_the-actor-19.jpg,train,train,
high-renaissance_correggio_madonna-and-child-with-saint-francis-1514.jpg,train,high_renaissance,High_Renaissance,religious_painting,correggio,madonna-and-child-with-saint-francis-1514.jpg,High_Renaissance/correggio_madonna-and-child-with-saint-francis-1514.jpg,correggio_madonna-and-child-with-saint-francis-1514.jpg,train,train,
new-realism_edward-hopper_girl-at-a-sewing-machine.jpg,train,new_realism,New_Realism,genre_painting,edward-hopper,girl-at-a-sewing-machine.jpg,New_Realism/edward-hopper_girl-at-a-sewing-machine.jpg,edward-hopper_girl-at-a-sewing-machine.jpg,train,train,
